,genres,homepage,movie_id,original_title,original_language,vote_average
0,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",http://www.avatarmovie.com/,https://image.tmdb.org/t/p/w500//jRXYjXNq0Cs2TcJjLkki24MLp7u.jpg,Avatar,en,7.2
1,"['Adventure', 'Fantasy', 'Action']",http://disney.go.com/disneypictures/pirates/,https://image.tmdb.org/t/p/w500//8ORuWcrYPgjwUDyCzr7qsOlCdwn.jpg,Pirates of the Caribbean: At World's End,en,6.9
2,"['Action', 'Adventure', 'Crime']",http://www.sonypictures.com/movies/spectre/,https://image.tmdb.org/t/p/w500//672kUEMtTHcaVYSVY4eiHEliHFa.jpg,Spectre,en,6.3
3,"['Action', 'Crime', 'Drama', 'Thriller']",http://www.thedarkknightrises.com/,https://image.tmdb.org/t/p/w500//vzvKcPQ4o7TjWeGIn0aGC9FeVNu.jpg,The Dark Knight Rises,en,7.6
4,"['Action', 'Adventure', 'Science Fiction']",http://movies.disney.com/john-carter,https://image.tmdb.org/t/p/w500//7GSSyUUgUEXm1rhmiPGSRuKoqnK.jpg,John Carter,en,6.1
5,"['Fantasy', 'Action', 'Adventure']",http://www.sonypictures.com/movies/spider-man3/,https://image.tmdb.org/t/p/w500//2jLxKF73SAPkyhIWrnv67IH7kJ1.jpg,Spider-Man 3,en,5.9
6,"['Animation', 'Family']",http://disney.go.com/disneypictures/tangled/,https://image.tmdb.org/t/p/w500//ym7Kst6a4uodryxqbGOxmewF235.jpg,Tangled,en,7.4
7,"['Action', 'Adventure', 'Science Fiction']",http://marvel.com/movies/movie/193/avengers_age_of_ultron,https://image.tmdb.org/t/p/w500//4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,Avengers: Age of Ultron,en,7.3
8,"['Adventure', 'Fantasy', 'Family']",http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html,https://image.tmdb.org/t/p/w500//z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg,Harry Potter and the Half-Blood Prince,en,7.4
9,"['Action', 'Adventure', 'Fantasy']",http://www.batmanvsupermandawnofjustice.com/,https://image.tmdb.org/t/p/w500//5UsK3grJvtQrtzEgqNlDljJW96w.jpg,Batman v Superman: Dawn of Justice,en,5.7
